kecamatan,tahun,luas_tanam_ha,luas_panen_ha,produktivitas_kw_ha,produktivitas_ton_ha,produksi_ton,is_sementara
Tabunganen,2010,12517,12202,35.51,3.551,43329,0
Tabunganen,2011,12779,12181,37.85,3.785,46105,0
Tabunganen,2012,12616,12238,39.16,3.916,47927,0
Tabunganen,2013,12724,12281,37.5,3.75,46052,0
Tabunganen,2014,12702,12022,36.67,3.667,44085,0
Tabunganen,2015,12702,12419,35.68,3.568,44310,0
Tabunganen,2016,12911,12810,33.42,3.342,42785,0
Tabunganen,2017,13098,12686,38.67,3.867,49055,0
Tamban,2010,7727,7530,34.5,3.45,25979,0
Tamban,2011,7718,7471,36.73,3.673,27441,0
Tamban,2012,7734,7502,39.0,3.9,29258,0
Tamban,2013,7722,7456,36.45,3.645,27203,0
Tamban,2014,7863,7720,36.42,3.642,28116,0
Tamban,2015,7863,7688,35.49,3.549,27288,0
Tamban,2016,7955,7827,33.32,3.332,26080,0
Tamban,2017,8025,7769,37.93,3.793,29465,0
Mekarsari,2010,7160,6980,33.85,3.385,23627,0
Mekarsari,2011,7117,6884,36.47,3.647,25106,0
Mekarsari,2012,7123,6909,39.0,3.9,26946,0
Mekarsari,2013,7126,6668,36.68,3.668,24459,0
Mekarsari,2014,7118,6909,36.37,3.637,25128,0
Mekarsari,2015,7118,6959,35.6,3.56,24778,0
Mekarsari,2016,7186,7144,33.33,3.333,23811,0
Mekarsari,2017,7262,7029,38.09,3.809,26771,0
Anjir Pasar,2010,8373,8158,35.15,3.515,28675,0
Anjir Pasar,2011,9364,9061,37.78,3.778,34232,0
Anjir Pasar,2012,8521,8265,39.21,3.921,32409,0
Anjir Pasar,2013,8662,8360,37.3,3.73,31183,0
Anjir Pasar,2014,8583,8557,36.19,3.619,30968,0
Anjir Pasar,2015,8588,8397,36.24,3.624,30431,0
Anjir Pasar,2016,8923,8830,33.34,3.334,29439,0
Anjir Pasar,2017,8990,8705,38.85,3.885,33822,0
Anjir Muara,2010,7703,7506,34.36,3.436,25791,0
Anjir Muara,2011,7435,7209,36.48,3.648,26298,0
Anjir Muara,2012,7937,7699,39.2,3.92,30180,0
Anjir Muara,2013,7875,7544,36.48,3.648,27519,0
Anjir Muara,2014,7889,7276,36.47,3.647,26536,0
Anjir Muara,2015,8007,7829,36.25,3.625,28381,0
Anjir Muara,2016,8192,8156,33.34,3.334,27192,0
Anjir Muara,2017,8224,7962,38.45,3.845,30613,0
Alalak,2010,4178,4064,34.14,3.414,13874,0
Alalak,2011,4178,4053,36.75,3.675,14895,0
